 or ,ou
Retrieve address info,Recupere informação de endereço
Retrieve customer addresses,Recuperar endereço do cliente
Retrieve customer data,Recupere dados do cliente
Retrieve customer groups,Recuperar grupos do cliente
Retrieve customer info,Recuperar informações do cliente
Retrieve customers,Recuperar clientes
Retrieve your confirmation link here,Recupere aqui o seu link de confirmação
Retrieve your password here,Recupere sua senha aqui
SKU,Unidade de Manutenção de Estoque
Sales Statistics,Estatísticas de vendas
Save,Salvar
Save Address,Salvar endereço
Save Customer,Salvar cliente
Save Customer Group,Salvar grupo de cliente
Save Password,Salvar senha
Save and Continue Edit,Salvar e continuar a editar
Saved %d record(s),%d registro(s) salvo(s)
Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.,Valores separados por ponto e vírgula (;).<br/>Coloque ponto e vírgula no início para definir como vazia a primeira opção.<br/>Deixe em brando para abrir campo de texto.
Send Auto-Generated Password,Enviar senha auto-gerada
Send From,Enviar De
Send Welcome Email,Enviar e-mail de boas-vindas
Send Welcome Email after Confirmation,Enviar e-mail de boas-vindas após confirmação
Send confirmation link,Enviar link de confirmação
Sending,Enviando
Sent,Enviado
Session Start Time,Horário de início da sessão
Set as Default Billing Address,Definir como endereço padrão de faturamento
Set as Default Shipping Address,Ajustar como endereço de entrega padrão
Share Customer Accounts,Compartilhar contas do cliente
Shipped to First Name,Enviado para o primeiro nome
Shipped to Last Name,Enviado para o último nome
Shipped to Name,Enviado para o nome
Shopping Cart,Carrinho de compras
Shopping Cart - %d item(s),Carrinho de compras - %d item(ns)
Shopping Cart of %1$s - %2$d item(s),Carrinho de compras de %1$s - %2$d item(ns)
Show Date of Birth,Exibir a data de aniversário
Show Gender,Exibir o gênero
Show Middle Name (initial),Exibir nome do meio (inicial)
Show Prefix,Exibir o prefixo
Show Suffix,Exibir o sufixo
Show Tax/VAT Number,Exibir número fiscal
Show VAT Number on Frontend,Mostrar Número VAT na Frente
Sign Up for Newsletter,Assinar o boletim informativo
"Skipping import row, required field ""%s"" is not defined.","Ignorar linha de importação, campo ""%s"" exigido não está definido."
"Skipping import row, website ""%s"" field does not exist.","Pular a fileira de importação, o campo ""%s"" do site não existe."
State/Province,Estado/Província
Status,Status
Store,Loja
Store View,Visualização da loja
Street Address,Endereço da rua
Street Address %s,Endereço da Rua %s
Subject,Assunto
Submit,Enviar
Subscribe to Newsletter,Assinar o Boletim Informativo
Subscribed to Newsletter?,Já assinou o boletim informativo?
Suffix Dropdown Options,Opções de Sufixo Pendente
Tag Name,Nome de Marca
Tax Calculation Based On,Cálculo da Taxa Baseado em
Tax Class,Classe de Impostos
Tax/VAT number,Número de Taxas/IVA
Telephone,Telefone
Text,Texto
Text One Line,Texto Uma Linha
Thank you for registering with %s.,Obrigado por se registar com %s.
The Date of Birth is required.,Necessária a data de nascimento.
The TAX/VAT number is required.,Necessário o número de VAT/TAX.
The VAT ID entered (%s) is not a valid VAT ID.,A ID de VAT inserida (%s) não é uma ID de VAT válida.
The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.,A ID de VAT inserida (%s) não é uma ID de VAT válida. O cliente pertenceria o Grupo de clientes %s.
The VAT ID is valid. The current Customer Group will be used.,A ID de VAT é válida. O grupo de clientes atual será usado.
The account information has been saved.,As informações da conta foram salvas.
The address does not belong to this customer.,O endereço não pertence a este cliente.
The address has been deleted.,O endereço foi apagado.
The address has been saved.,O endereço foi salvo.
"The customer ID and email did not match, skipping the record, line: %s","A ID e o email de cliente não correspondem,"
The customer does not have default billing address.,O cliente não tem endereço de cobrança predefinido.
"The customer email (%s) already exists, skipping the record, line: %s","O emal de cliente (%s) já existe, ignorar o registro, linha: %s"
The customer group has been deleted.,O grupo de clientes foi apagado.
The customer group has been saved.,O grupo de clientes foi salvo.
The customer is currently assigned to Customer Group %s.,O cliente está atualmente atribuído ao grupo de clientes %s.
The first name cannot be empty.,O primeiro nome não pode ficar vazio.
"The group ""%s"" cannot be deleted","O grupo ""%s"" não pode ser apagado"
The last name cannot be empty.,O último nome não pode ficar vazio.
The minimum password length is %s,O comprimento mínimo da senha é %s.
The password cannot be empty.,A senha não pode ficar vazia.
The password must have at least 6 characters. Leading or trailing spaces will be ignored.,A senha deve ter pelo menos 6 caracteres. Espaços à esquerda ou à direita serão ignorados.
"The suffix that goes after name (Jr., Sr., etc.)","O sufixo que vai atrás do nome (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","O título que vai antes do nome (Sr., Sra., etc.)"
There are no items in customer's wishlist at the moment,No momento não há itens na lista de desejos do cliente
There are no items in customer\'s shopping cart at the moment,Não há itens no carrinho de compras do cliente no momento
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Já existe uma conta com este endereço de email. Se você tem certeza que é o seu endereço de email, <a href=""%s"">clique aqui</a> para obter a sua senha e acessar sua conta."
There was an error validating the VAT ID.,Ocorreu um erro ao validar a ID do VAT.
There was an error validating the VAT ID. The customer would belong to Customer Group %s.,Ocorreu um erro ao validar a ID do VAT. O cliente pertenceria ao grupo de clientes %s.
This account is not confirmed.,Essa conta não está confirmada.
This customer email already exists,Este email do cliente já existe
This customer has no saved addresses.,Este cliente não tem endereços guardados.
This email does not require confirmation.,Este email não requer confirmação.
"This email will be sent instead of default welcome email, after account confirmation.","Este e-mail será enviado ao invés do e-mail predefinido de boas vindas, após a confirmação da conta."
This is My Default %s Address,Este é o Meu Endereço %s Padrão
To Cart,Para Carrinho
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","Para mostrar o número VAT na frente, marque a opção Mostrar Número VAT na Frente como Sim."
Total,Total
Type,Tipo
Unable to save the customer.,Não foi possível salvar o cliente.
Unknown,Desconhecido
Unsubscribe from Newsletter,Cancelar a assinatura do boletim informativo
Update,Atualizar
Update customer address data,Atualizar os dados de endereço do cliente
Update customer data,Atualizar dados do cliente
Use as My Default %s Address,Use como Meu Endereço %s Padrão
Use as My Default Billing Address,Utilizar como endereço padrão de faturamento
Use as My Default Shipping Address,Use como Meu Endereço de Entrega Predefinido
Use as my default billing address,Use como meu endereço de cobrança padrão
Use as my default shipping address,Use como meu endereço de entrega padrão
VAT Number,Número VAT
VAT Request Date,Data de solicitação de VAT
VAT Request Identifier,Identificador de solicitação de VAT
Validate VAT Number,Validar número de VAT
Validate on Each Transaction,Validar em cada transação
Validation Error Group,Validar grupo de erro
View,Ver
View Order,Ver Solicitação
Visitor,Visitante
Visitors Only,Apenas visitantes
Website,Website
Welcome Email,E-mail de boas-vindas
Wishlist,Lista de presentes
Wishlist - %d item(s),Lista de presentes - %d item(ns)
Would you like to change the Customer Group for this order?,Gostaria de alterar o grupo de cliente para este pedido?
Wrong confirmation key.,A chave de confirmação está errada.
Wrong customer account specified.,Conta especificada de cliente errada.
Wrong email.,E-mail errado.
Wrong transactional account email type,O tipo de e-mail de conta transacional está errado
YYYY,AAAA
Year,Ano
You are currently not subscribed to any newsletter.,Você não está inscrito em nenhum boletim informativo.
You are currently not subscribed to our newsletter.,Você ainda não assinou o nosso boletim informativo.
You are currently subscribed to 'General Subscription'.,"Você está atualmente inscrito em ""Assinatura Geral""."
You are currently subscribed to our newsletter.,Você está atualmente inscrito em nosso boletim informativo.
You are now logged out,Agora você está desconectado
You have logged out and will be redirected to our homepage in 5 seconds.,Você se desconectou e será redirecionado para a nossa página inicial em 5 segundos.
You have no additional address entries in your address book.,Você não tem nenhuma entrada de endereço adicional no seu livro de endereços.
You have no additional entries in your address book.,Você não tem entradas adicionais em seu livro de endereços.
You have no default billing address in your address book.,Você não tem endereço de cobrança padrão no seu livro de endereços.
You have no default entries in your address book.,Você não tem entradas padrão em seu livro de endereços.
You have no default shipping address in your address book.,Você não tem endereço de entrega padrão no seu livro de endereços.
You have not set a default billing address.,Você não configurou um endereço de faturamento padrão.
You have not set a default shipping address.,Você não definiu um endereço de envio.
You have placed no orders yet.,Você ainda não fez pedidos.
You have placed no products yet.,Você ainda não colocou nenhum produto.
You will be charged tax.,Imposto devido.
You will not be charged tax.,Não é devido imposto.
Your Tax ID cannot be validated.,Sua ID de imposto não pode ser validada.
Your VAT ID was successfully validated.,Sua ID de VAT foi validada com sucesso.
Your account balance is: %s,O saldo da sua conta é: %s
ZIP,CEP
ZIP/Post Code,Código Postal
Zip/Postal Code,Zip/Código Postal
n/a,n/d
or,ou
register,registrar
Company Banner,Banner da Empresa
Middle Name/Initial,Nome do meio
Company Name,Nome da Empresa
Company Locality,Endere�o da Empresa
